Date,Product_ID,Product_Name,Category,Base_Price,Discounted_Price,Units_Sold,Revenue,Discount (%),Rating
2023-01-05,P1011,Moisturizer,Beauty & Personal Care,22.49,20.24,90,1821.6,10,4.5
2023-01-05,P1012,Programming Book,Books & Learning,39.95,37.95,84,3187.8,5,4.6
2023-01-06,P1001,Wireless Headphones,Electronics,59.99,50.99,176,8974.24,15,3.9
2023-01-06,P1002,Bluetooth Speaker,Electronics,45.99,39.09,151,5902.59,15,3.8
2023-01-06,P1003,Smartwatch,Electronics,149.99,127.49,54,6884.46,15,4.0
2023-01-06,P1004,Yoga Mat,Fitness,25.0,21.25,135,2868.75,15,4.8
2023-01-06,P1005,Resistance Bands,Fitness,19.99,19.99,43,859.57,0,3.6
2023-01-06,P1006,Ceramic Mug,Home & Kitchen,12.99,12.99,116,1506.84,0,3.9
2023-01-06,P1007,Non-stick Pan,Home & Kitchen,34.99,29.74,78,2319.72,15,3.7
2023-01-06,P1008,Notebook Set,Office & Stationery,10.99,9.89,76,751.64,10,4.2
2023-01-06,P1009,Backpack,Fashion & Accessories,49.99,42.49,49,2082.01,15,4.7
2023-01-06,P1010,Running Shoes,Fashion & Accessories,89.99,89.99,170,15298.3,0,3.6
2023-01-06,P1011,Moisturizer,Beauty & Personal Care,22.49,22.49,168,3778.32,0,5.0
2023-01-06,P1012,Programming Book,Books & Learning,39.95,37.95,90,3415.5,5,4.1
2023-01-07,P1001,Wireless Headphones,Electronics,59.99,56.99,153,8719.47,5,4.8
2023-01-07,P1002,Bluetooth Speaker,Electronics,45.99,43.69,45,1966.05,5,4.1
2023-01-07,P1003,Smartwatch,Electronics,149.99,134.99,129,17413.71,10,4.9
2023-01-07,P1004,Yoga Mat,Fitness,25.0,22.5,146,3285.0,10,4.1
2023-01-07,P1005,Resistance Bands,Fitness,19.99,16.99,172,2922.28,15,3.7
2023-01-07,P1006,Ceramic Mug,Home & Kitchen,12.99,12.34,105,1295.7,5,5.0
2023-01-07,P1007,Non-stick Pan,Home & Kitchen,34.99,34.99,178,6228.22,0,4.6
2023-01-07,P1008,Notebook Set,Office & Stationery,10.99,10.99,44,483.56,0,4.4
2023-01-07,P1009,Backpack,Fashion & Accessories,49.99,47.49,158,7503.42,5,3.6
2023-01-07,P1010,Running Shoes,Fashion & Accessories,89.99,89.99,160,14398.4,0,4.8
2023-01-07,P1011,Moisturizer,Beauty & Personal Care,22.49,22.49,47,1057.03,0,4.5
2023-01-07,P1012,Programming Book,Books & Learning,39.95,33.96,90,3056.4,15,3.7
2023-01-08,P1001,Wireless Headphones,Electronics,59.99,56.99,175,9973.25,5,4.4
2023-01-08,P1002,Bluetooth Speaker,Electronics,45.99,45.99,40,1839.6,0,4.1
2023-01-08,P1003,Smartwatch,Electronics,149.99,134.99,179,24163.21,10,4.9
2023-01-08,P1004,Yoga Mat,Fitness,25.0,22.5,82,1845.0,10,3.9
2023-01-08,P1005,Resistance Bands,Fitness,19.99,18.99,131,2487.69,5,4.5
2023-01-08,P1006,Ceramic Mug,Home & Kitchen,12.99,11.04,106,1170.24,15,4.0
2023-01-08,P1007,Non-stick Pan,Home & Kitchen,34.99,34.99,48,1679.52,0,4.2
2023-01-08,P1008,Notebook Set,Office & Stationery,10.99,10.99,174,1912.26,0,3.6
2023-01-08,P1009,Backpack,Fashion & Accessories,49.99,44.99,84,3779.16,10,3.7
2023-01-08,P1010,Running Shoes,Fashion & Accessories,89.99,89.99,119,10708.81,0,4.8
2023-01-08,P1011,Moisturizer,Beauty & Personal Care,22.49,20.24,124,2509.76,10,3.7
2023-01-08,P1012,Programming Book,Books & Learning,39.95,35.96,169,6077.24,10,4.4
2023-01-09,P1001,Wireless Headphones,Electronics,59.99,59.99,165,9898.35,0,4.5
2023-01-09,P1002,Bluetooth Speaker,Electronics,45.99,41.39,171,7077.69,10,4.9
2023-01-09,P1003,Smartwatch,Electronics,149.99,142.49,56,7979.44,5,3.9
2023-01-09,P1004,Yoga Mat,Fitness,25.0,23.75,57,1353.75,5,3.9
2023-01-09,P1005,Resistance Bands,Fitness,19.99,17.99,83,1493.17,10,3.8
2023-01-09,P1006,Ceramic Mug,Home & Kitchen,12.99,11.04,97,1070.88,15,3.9
2023-01-09,P1007,Non-stick Pan,Home & Kitchen,34.99,34.99,43,1504.57,0,4.5
2023-01-09,P1008,Notebook Set,Office & Stationery,10.99,10.99,100,1099.0,0,3.5
2023-01-09,P1009,Backpack,Fashion & Accessories,49.99,44.99,63,2834.37,10,3.7
2023-01-09,P1010,Running Shoes,Fashion & Accessories,89.99,76.49,143,10938.07,15,4.3
2023-01-09,P1011,Moisturizer,Beauty & Personal Care,22.49,22.49,58,1304.42,0,4.9
2023-01-09,P1012,Programming Book,Books & Learning,39.95,39.95,68,2716.6,0,4.8
2023-01-10,P1001,Wireless Headphones,Electronics,59.99,56.99,179,10201.21,5,4.1
2023-01-10,P1002,Bluetooth Speaker,Electronics,45.99,41.39,40,1655.6,10,4.0
2023-01-10,P1003,Smartwatch,Electronics,149.99,134.99,40,5399.6,10,3.8
2023-01-10,P1004,Yoga Mat,Fitness,25.0,25.0,93,2325.0,0,4.0
2023-01-10,P1005,Resistance Bands,Fitness,19.99,16.99,173,2939.27,15,5.0
2023-01-10,P1006,Ceramic Mug,Home & Kitchen,12.99,12.34,69,851.46,5,4.8
2023-01-10,P1007,Non-stick Pan,Home & Kitchen,34.99,29.74,75,2230.5,15,3.5
2023-01-10,P1008,Notebook Set,Office & Stationery,10.99,9.34,115,1074.1,15,4.7
2023-01-10,P1009,Backpack,Fashion & Accessories,49.99,44.99,93,4184.07,10,3.7
2023-01-10,P1010,Running Shoes,Fashion & Accessories,89.99,76.49,57,4359.93,15,4.8
2023-01-10,P1011,Moisturizer,Beauty & Personal Care,22.49,21.37,150,3205.5,5,3.8
2023-01-10,P1012,Programming Book,Books & Learning,39.95,35.96,147,5286.12,10,4.0
2023-01-11,P1001,Wireless Headphones,Electronics,59.99,56.99,88,5015.12,5,3.5
2023-01-11,P1002,Bluetooth Speaker,Electronics,45.99,39.09,79,3088.11,15,4.0
2023-01-11,P1003,Smartwatch,Electronics,149.99,134.99,47,6344.53,10,4.0
2023-01-11,P1004,Yoga Mat,Fitness,25.0,21.25,160,3400.0,15,4.5
2023-01-11,P1005,Resistance Bands,Fitness,19.99,17.99,167,3004.33,10,4.9
2023-01-11,P1006,Ceramic Mug,Home & Kitchen,12.99,11.69,59,689.71,10,3.8
2023-01-11,P1007,Non-stick Pan,Home & Kitchen,34.99,34.99,97,3394.03,0,3.7
2023-01-11,P1008,Notebook Set,Office & Stationery,10.99,9.89,141,1394.49,10,4.6
2023-01-11,P1009,Backpack,Fashion & Accessories,49.99,42.49,110,4673.9,15,4.4
2023-01-11,P1010,Running Shoes,Fashion & Accessories,89.99,89.99,160,14398.4,0,4.1
2023-01-11,P1011,Moisturizer,Beauty & Personal Care,22.49,21.37,177,3782.49,5,3.9
2023-01-11,P1012,Programming Book,Books & Learning,39.95,39.95,141,5632.95,0,4.3
2023-01-12,P1001,Wireless Headphones,Electronics,59.99,56.99,167,9517.33,5,4.0
2023-01-12,P1002,Bluetooth Speaker,Electronics,45.99,41.39,47,1945.33,10,4.4
2023-01-12,P1003,Smartwatch,Electronics,149.99,134.99,61,8234.39,10,4.3
2023-01-12,P1004,Yoga Mat,Fitness,25.0,22.5,134,3015.0,10,4.1
2023-01-12,P1005,Resistance Bands,Fitness,19.99,18.99,105,1993.95,5,3.8
2023-01-12,P1006,Ceramic Mug,Home & Kitchen,12.99,12.34,127,1567.18,5,4.4
2023-01-12,P1007,Non-stick Pan,Home & Kitchen,34.99,29.74,107,3182.18,15,4.3
2023-01-12,P1008,Notebook Set,Office & Stationery,10.99,9.89,30,296.7,10,3.9
2023-01-12,P1009,Backpack,Fashion & Accessories,49.99,44.99,140,6298.6,10,4.2
2023-01-12,P1010,Running Shoes,Fashion & Accessories,89.99,85.49,143,12225.07,5,4.3
2023-01-12,P1011,Moisturizer,Beauty & Personal Care,22.49,22.49,73,1641.77,0,3.9
2023-01-12,P1012,Programming Book,Books & Learning,39.95,39.95,115,4594.25,0,4.7
2023-01-13,P1001,Wireless Headphones,Electronics,59.99,53.99,90,4859.1,10,3.8
2023-01-13,P1002,Bluetooth Speaker,Electronics,45.99,43.69,80,3495.2,5,3.5
2023-01-13,P1003,Smartwatch,Electronics,149.99,127.49,92,11729.08,15,4.4
2023-01-13,P1004,Yoga Mat,Fitness,25.0,21.25,48,1020.0,15,4.1
2023-01-13,P1005,Resistance Bands,Fitness,19.99,18.99,177,3361.23,5,4.6
2023-01-13,P1006,Ceramic Mug,Home & Kitchen,12.99,11.04,128,1413.12,15,4.1
2023-01-13,P1007,Non-stick Pan,Home & Kitchen,34.99,34.99,67,2344.33,0,4.8
2023-01-13,P1008,Notebook Set,Office & Stationery,10.99,9.34,57,532.38,15,3.8
2023-01-13,P1009,Backpack,Fashion & Accessories,49.99,42.49,162,6883.38,15,3.6
2023-01-13,P1010,Running Shoes,Fashion & Accessories,89.99,89.99,93,8369.07,0,4.2
2023-01-13,P1011,Moisturizer,Beauty & Personal Care,22.49,20.24,148,2995.52,10,4.9
2023-01-13,P1012,Programming Book,Books & Learning,39.95,33.96,143,4856.28,15,4.7
2023-01-14,P1001,Wireless Headphones,Electronics,59.99,50.99,170,8668.3,15,4.8
2023-01-14,P1002,Bluetooth Speaker,Electronics,45.99,39.09,151,5902.59,15,3.9
2023-01-14,P1003,Smartwatch,Electronics,149.99,134.99,93,12554.07,10,4.6
2023-01-14,P1004,Yoga Mat,Fitness,25.0,21.25,163,3463.75,15,4.4
2023-01-14,P1005,Resistance Bands,Fitness,19.99,16.99,100,1699.0,15,3.6
2023-01-14,P1006,Ceramic Mug,Home & Kitchen,12.99,12.34,103,1271.02,5,3.9
2023-01-14,P1007,Non-stick Pan,Home & Kitchen,34.99,34.99,111,3883.89,0,3.7
2023-01-14,P1008,Notebook Set,Office & Stationery,10.99,9.34,89,831.26,15,4.5
2023-01-14,P1009,Backpack,Fashion & Accessories,49.99,49.99,84,4199.16,0,4.1
2023-01-14,P1010,Running Shoes,Fashion & Accessories,89.99,76.49,114,8719.86,15,4.1
2023-01-14,P1011,Moisturizer,Beauty & Personal Care,22.49,19.12,82,1567.84,15,4.1
2023-01-14,P1012,Programming Book,Books & Learning,39.95,39.95,179,7151.05,0,4.8
2023-01-15,P1001,Wireless Headphones,Electronics,59.99,50.99,177,9025.23,15,4.2
2023-01-15,P1002,Bluetooth Speaker,Electronics,45.99,41.39,120,4966.8,10,4.6
2023-01-15,P1003,Smartwatch,Electronics,149.99,142.49,137,19521.13,5,4.2
2023-01-15,P1004,Yoga Mat,Fitness,25.0,21.25,99,2103.75,15,4.2
2023-01-15,P1005,Resistance Bands,Fitness,19.99,17.99,129,2320.71,10,4.5
2023-01-15,P1006,Ceramic Mug,Home & Kitchen,12.99,12.34,133,1641.22,5,4.8
2023-01-15,P1007,Non-stick Pan,Home & Kitchen,34.99,34.99,62,2169.38,0,4.9
2023-01-15,P1008,Notebook Set,Office & Stationery,10.99,10.99,174,1912.26,0,3.6
2023-01-15,P1009,Backpack,Fashion & Accessories,49.99,47.49,139,6601.11,5,4.8
2023-01-15,P1010,Running Shoes,Fashion & Accessories,89.99,89.99,76,6839.24,0,3.9
2023-01-15,P1011,Moisturizer,Beauty & Personal Care,22.49,21.37,113,2414.81,5,4.2
2023-01-15,P1012,Programming Book,Books & Learning,39.95,33.96,116,3939.36,15,3.9
2023-01-16,P1001,Wireless Headphones,Electronics,59.99,53.99,137,7396.63,10,4.8
2023-01-16,P1002,Bluetooth Speaker,Electronics,45.99,45.99,150,6898.5,0,4.6
2023-01-16,P1003,Smartwatch,Electronics,149.99,134.99,43,5804.57,10,3.8
2023-01-16,P1004,Yoga Mat,Fitness,25.0,25.0,47,1175.0,0,4.6
2023-01-16,P1005,Resistance Bands,Fitness,19.99,18.99,93,1766.07,5,4.8
2023-01-16,P1006,Ceramic Mug,Home & Kitchen,12.99,12.34,69,851.46,5,3.7
2023-01-16,P1007,Non-stick Pan,Home & Kitchen,34.99,33.24,59,1961.16,5,4.2
2023-01-16,P1008,Notebook Set,Office & Stationery,10.99,9.89,95,939.55,10,3.8
2023-01-16,P1009,Backpack,Fashion & Accessories,49.99,47.49,59,2801.91,5,4.9
2023-01-16,P1010,Running Shoes,Fashion & Accessories,89.99,89.99,57,5129.43,0,4.9
2023-01-16,P1011,Moisturizer,Beauty & Personal Care,22.49,19.12,177,3384.24,15,4.1
2023-01-16,P1012,Programming Book,Books & Learning,39.95,39.95,80,3196.0,0,4.4
2023-01-17,P1001,Wireless Headphones,Electronics,59.99,59.99,92,5519.08,0,4.5
2023-01-17,P1002,Bluetooth Speaker,Electronics,45.99,45.99,107,4920.93,0,4.7
2023-01-17,P1003,Smartwatch,Electronics,149.99,149.99,174,26098.26,0,4.0
2023-01-17,P1004,Yoga Mat,Fitness,25.0,22.5,139,3127.5,10,3.6
2023-01-17,P1005,Resistance Bands,Fitness,19.99,19.99,117,2338.83,0,4.8
2023-01-17,P1006,Ceramic Mug,Home & Kitchen,12.99,12.99,155,2013.45,0,4.2
2023-01-17,P1007,Non-stick Pan,Home & Kitchen,34.99,29.74,122,3628.28,15,4.6
2023-01-17,P1008,Notebook Set,Office & Stationery,10.99,10.44,141,1472.04,5,4.6
2023-01-17,P1009,Backpack,Fashion & Accessories,49.99,42.49,99,4206.51,15,4.2
2023-01-17,P1010,Running Shoes,Fashion & Accessories,89.99,80.99,98,7937.02,10,4.8
2023-01-17,P1011,Moisturizer,Beauty & Personal Care,22.49,20.24,52,1052.48,10,4.8
2023-01-17,P1012,Programming Book,Books & Learning,39.95,33.96,92,3124.32,15,4.4
2023-01-18,P1001,Wireless Headphones,Electronics,59.99,53.99,127,6856.73,10,3.5
2023-01-18,P1002,Bluetooth Speaker,Electronics,45.99,43.69,113,4936.97,5,4.2
2023-01-18,P1003,Smartwatch,Electronics,149.99,134.99,120,16198.8,10,4.0
2023-01-18,P1004,Yoga Mat,Fitness,25.0,25.0,100,2500.0,0,4.3
2023-01-18,P1005,Resistance Bands,Fitness,19.99,19.99,78,1559.22,0,3.9
2023-01-18,P1006,Ceramic Mug,Home & Kitchen,12.99,11.04,134,1479.36,15,4.3
2023-01-18,P1007,Non-stick Pan,Home & Kitchen,34.99,29.74,91,2706.34,15,4.5
2023-01-18,P1008,Notebook Set,Office & Stationery,10.99,9.34,155,1447.7,15,4.7
2023-01-18,P1009,Backpack,Fashion & Accessories,49.99,44.99,53,2384.47,10,3.8
2023-01-18,P1010,Running Shoes,Fashion & Accessories,89.99,80.99,92,7451.08,10,4.5
2023-01-18,P1011,Moisturizer,Beauty & Personal Care,22.49,19.12,124,2370.88,15,4.3
2023-01-18,P1012,Programming Book,Books & Learning,39.95,33.96,118,4007.28,15,5.0
2023-01-19,P1001,Wireless Headphones,Electronics,59.99,53.99,170,9178.3,10,4.0
2023-01-19,P1002,Bluetooth Speaker,Electronics,45.99,41.39,146,6042.94,10,4.0
2023-01-19,P1003,Smartwatch,Electronics,149.99,149.99,89,13349.11,0,4.6
2023-01-19,P1004,Yoga Mat,Fitness,25.0,25.0,110,2750.0,0,4.6
2023-01-19,P1005,Resistance Bands,Fitness,19.99,18.99,77,1462.23,5,3.8
2023-01-19,P1006,Ceramic Mug,Home & Kitchen,12.99,11.69,153,1788.57,10,4.6
2023-01-19,P1007,Non-stick Pan,Home & Kitchen,34.99,31.49,164,5164.36,10,5.0
2023-01-19,P1008,Notebook Set,Office & Stationery,10.99,9.89,79,781.31,10,3.8
2023-01-19,P1009,Backpack,Fashion & Accessories,49.99,44.99,75,3374.25,10,3.5
2023-01-19,P1010,Running Shoes,Fashion & Accessories,89.99,85.49,166,14191.34,5,3.9
2023-01-19,P1011,Moisturizer,Beauty & Personal Care,22.49,20.24,43,870.32,10,4.5
2023-01-19,P1012,Programming Book,Books & Learning,39.95,33.96,62,2105.52,15,3.7
2023-01-20,P1001,Wireless Headphones,Electronics,59.99,53.99,33,1781.67,10,4.2
2023-01-20,P1002,Bluetooth Speaker,Electronics,45.99,41.39,142,5877.38,10,3.8
2023-01-20,P1003,Smartwatch,Electronics,149.99,134.99,43,5804.57,10,4.9
2023-01-20,P1004,Yoga Mat,Fitness,25.0,25.0,152,3800.0,0,4.7
2023-01-20,P1005,Resistance Bands,Fitness,19.99,16.99,132,2242.68,15,3.6
2023-01-20,P1006,Ceramic Mug,Home & Kitchen,12.99,12.34,43,530.62,5,3.7
2023-01-20,P1007,Non-stick Pan,Home & Kitchen,34.99,31.49,174,5479.26,10,3.6
2023-01-20,P1008,Notebook Set,Office & Stationery,10.99,10.99,93,1022.07,0,4.3
2023-01-20,P1009,Backpack,Fashion & Accessories,49.99,47.49,136,6458.64,5,4.7
2023-01-20,P1010,Running Shoes,Fashion & Accessories,89.99,76.49,127,9714.23,15,4.9
2023-01-20,P1011,Moisturizer,Beauty & Personal Care,22.49,19.12,106,2026.72,15,4.0
2023-01-20,P1012,Programming Book,Books & Learning,39.95,39.95,45,1797.75,0,4.9
2023-01-21,P1001,Wireless Headphones,Electronics,59.99,56.99,83,4730.17,5,3.9
2023-01-21,P1002,Bluetooth Speaker,Electronics,45.99,43.69,50,2184.5,5,3.9
2023-01-21,P1003,Smartwatch,Electronics,149.99,149.99,171,25648.29,0,3.7
2023-01-21,P1004,Yoga Mat,Fitness,25.0,21.25,134,2847.5,15,4.5
2023-01-21,P1005,Resistance Bands,Fitness,19.99,17.99,150,2698.5,10,3.5
2023-01-21,P1006,Ceramic Mug,Home & Kitchen,12.99,11.69,103,1204.07,10,4.6
2023-01-21,P1007,Non-stick Pan,Home & Kitchen,34.99,34.99,146,5108.54,0,4.5
2023-01-21,P1008,Notebook Set,Office & Stationery,10.99,10.44,97,1012.68,5,4.1
2023-01-21,P1009,Backpack,Fashion & Accessories,49.99,47.49,169,8025.81,5,4.5
2023-01-21,P1010,Running Shoes,Fashion & Accessories,89.99,85.49,98,8378.02,5,3.6
2023-01-21,P1011,Moisturizer,Beauty & Personal Care,22.49,20.24,72,1457.28,10,4.4
2023-01-21,P1012,Programming Book,Books & Learning,39.95,35.96,175,6293.0,10,4.2
2023-01-22,P1001,Wireless Headphones,Electronics,59.99,53.99,149,8044.51,10,4.5
2023-01-22,P1002,Bluetooth Speaker,Electronics,45.99,39.09,99,3869.91,15,4.2
2023-01-22,P1003,Smartwatch,Electronics,149.99,127.49,40,5099.6,15,4.6
2023-01-22,P1004,Yoga Mat,Fitness,25.0,25.0,94,2350.0,0,3.6
2023-01-22,P1005,Resistance Bands,Fitness,19.99,19.99,177,3538.23,0,5.0
2023-01-22,P1006,Ceramic Mug,Home & Kitchen,12.99,12.99,98,1273.02,0,4.6
2023-01-22,P1007,Non-stick Pan,Home & Kitchen,34.99,29.74,74,2200.76,15,4.3
2023-01-22,P1008,Notebook Set,Office & Stationery,10.99,9.89,143,1414.27,10,3.8
2023-01-22,P1009,Backpack,Fashion & Accessories,49.99,42.49,179,7605.71,15,4.5
2023-01-22,P1010,Running Shoes,Fashion & Accessories,89.99,89.99,155,13948.45,0,4.2
2023-01-22,P1011,Moisturizer,Beauty & Personal Care,22.49,20.24,134,2712.16,10,4.0
2023-01-22,P1012,Programming Book,Books & Learning,39.95,37.95,56,2125.2,5,4.0
2023-01-23,P1001,Wireless Headphones,Electronics,59.99,53.99,156,8422.44,10,4.5
2023-01-23,P1002,Bluetooth Speaker,Electronics,45.99,45.99,132,6070.68,0,4.2
2023-01-23,P1003,Smartwatch,Electronics,149.99,134.99,110,14848.9,10,4.0
2023-01-23,P1004,Yoga Mat,Fitness,25.0,25.0,133,3325.0,0,4.5
2023-01-23,P1005,Resistance Bands,Fitness,19.99,16.99,168,2854.32,15,4.1
2023-01-23,P1006,Ceramic Mug,Home & Kitchen,12.99,11.69,78,911.82,10,4.4
2023-01-23,P1007,Non-stick Pan,Home & Kitchen,34.99,29.74,157,4669.18,15,4.6
2023-01-23,P1008,Notebook Set,Office & Stationery,10.99,9.89,82,810.98,10,4.3
2023-01-23,P1009,Backpack,Fashion & Accessories,49.99,42.49,103,4376.47,15,4.8
2023-01-23,P1010,Running Shoes,Fashion & Accessories,89.99,89.99,154,13858.46,0,3.5
2023-01-23,P1011,Moisturizer,Beauty & Personal Care,22.49,21.37,91,1944.67,5,4.0
2023-01-23,P1012,Programming Book,Books & Learning,39.95,33.96,33,1120.68,15,3.6
2023-01-24,P1001,Wireless Headphones,Electronics,59.99,50.99,59,3008.41,15,4.9
2023-01-24,P1002,Bluetooth Speaker,Electronics,45.99,39.09,69,2697.21,15,4.9
2023-01-24,P1003,Smartwatch,Electronics,149.99,134.99,104,14038.96,10,4.1
2023-01-24,P1004,Yoga Mat,Fitness,25.0,21.25,153,3251.25,15,3.9
2023-01-24,P1005,Resistance Bands,Fitness,19.99,18.99,171,3247.29,5,4.1
2023-01-24,P1006,Ceramic Mug,Home & Kitchen,12.99,12.34,160,1974.4,5,4.8
2023-01-24,P1007,Non-stick Pan,Home & Kitchen,34.99,29.74,100,2974.0,15,4.0
2023-01-24,P1008,Notebook Set,Office & Stationery,10.99,9.89,159,1572.51,10,4.7
2023-01-24,P1009,Backpack,Fashion & Accessories,49.99,44.99,102,4588.98,10,4.8
2023-01-24,P1010,Running Shoes,Fashion & Accessories,89.99,76.49,178,13615.22,15,4.8
2023-01-24,P1011,Moisturizer,Beauty & Personal Care,22.49,19.12,144,2753.28,15,4.0
2023-01-24,P1012,Programming Book,Books & Learning,39.95,33.96,171,5807.16,15,4.2
2023-01-25,P1001,Wireless Headphones,Electronics,59.99,56.99,112,6382.88,5,5.0
2023-01-25,P1002,Bluetooth Speaker,Electronics,45.99,39.09,91,3557.19,15,3.9
2023-01-25,P1003,Smartwatch,Electronics,149.99,149.99,135,20248.65,0,4.0
2023-01-25,P1004,Yoga Mat,Fitness,25.0,21.25,151,3208.75,15,4.1
2023-01-25,P1005,Resistance Bands,Fitness,19.99,16.99,68,1155.32,15,4.9
2023-01-25,P1006,Ceramic Mug,Home & Kitchen,12.99,11.69,62,724.78,10,4.8
2023-01-25,P1007,Non-stick Pan,Home & Kitchen,34.99,34.99,142,4968.58,0,4.3
